subject_id,workflow_id,task,reducer,data.yes,data.aggregation_version,data.None,data.no
58642634,17772,T72,question_reducer,,3.4.5,,
58642634,17772,T78,question_reducer,,3.4.5,,
58642635,17772,T0,question_reducer,,3.4.5,,4.0
58642635,17772,T6,question_reducer,,3.4.5,,
58642635,17772,T11,question_reducer,,3.4.5,,
58642635,17772,T18,question_reducer,,3.4.5,,
58642635,17772,T24,question_reducer,,3.4.5,,
58642635,17772,T30,question_reducer,,3.4.5,,
58642635,17772,T36,question_reducer,,3.4.5,,
58642635,17772,T42,question_reducer,,3.4.5,,
58642635,17772,T48,question_reducer,,3.4.5,,
58642635,17772,T54,question_reducer,,3.4.5,,
58642635,17772,T60,question_reducer,,3.4.5,,
58642635,17772,T66,question_reducer,,3.4.5,,
58642635,17772,T72,question_reducer,,3.4.5,,
58642635,17772,T78,question_reducer,,3.4.5,,
58642636,17772,T0,question_reducer,,3.4.5,,4.0
58642636,17772,T6,question_reducer,,3.4.5,,
58642636,17772,T11,question_reducer,,3.4.5,,
58642636,17772,T18,question_reducer,,3.4.5,,
58642636,17772,T24,question_reducer,,3.4.5,,
58642636,17772,T30,question_reducer,,3.4.5,,
58642636,17772,T36,question_reducer,,3.4.5,,
58642636,17772,T42,question_reducer,,3.4.5,,
58642636,17772,T48,question_reducer,,3.4.5,,
58642636,17772,T54,question_reducer,,3.4.5,,
58642636,17772,T60,question_reducer,,3.4.5,,
58642636,17772,T66,question_reducer,,3.4.5,,
58642636,17772,T72,question_reducer,,3.4.5,,
58642636,17772,T78,question_reducer,,3.4.5,,
58642637,17772,T0,question_reducer,,3.4.5,,4.0
58642637,17772,T6,question_reducer,,3.4.5,,
58642637,17772,T11,question_reducer,,3.4.5,,
58642637,17772,T18,question_reducer,,3.4.5,,
58642637,17772,T24,question_reducer,,3.4.5,,
58642637,17772,T30,question_reducer,,3.4.5,,
58642637,17772,T36,question_reducer,,3.4.5,,
58642637,17772,T42,question_reducer,,3.4.5,,
58642637,17772,T48,question_reducer,,3.4.5,,
